Time,Reference,Sensor,Diff
0.25,-64,-78,14
0.5,-64,-76,12
0.75,-64,-78,14
1,-65,-76,11
1.25,-64,-76,12
1.5,-64,-75,11
1.75,-64,-74,10
2,-64,-73,9
2.25,-64,-73,9
2.5,-66,-74,8
2.75,-64,-72,8
3,-64,-72,8
3.25,-64,-71,7
3.5,-65,-68,3
3.75,-64,-67,3
4,-64,-66,2
4.25,-63,-66,3
4.5,-64,-66,2
4.75,-65,-66,1
5,-64,-66,2
5.25,-64,-66,2
5.5,-64,-66,2
5.75,-65,-66,1
6,-65,-65,0
6.25,-65,-66,1
6.5,-65,-66,1
6.75,-65,-67,2
7,-65,-67,2
7.25,-64,-67,3
7.5,-64,-67,3
7.75,-64,-68,4
8,-65,-68,3
8.25,-64,-72,8
8.5,-64,-72,8
8.75,-65,-70,5
9,-65,-74,9
9.25,-64,-74,10
9.5,-63,-72,9
9.75,-64,-73,9
10,-64,-74,10
10.25,-65,-74,9
10.5,-64,-73,9
10.75,-65,-75,10
11,-63,-75,12
11.25,-64,-72,8
11.5,-64,-71,7
11.75,-64,-67,3
12,-64,-66,2
12.25,-64,-66,2
12.5,-65,-65,0
12.75,-63,-64,1
13,-64,-65,1
13.25,-65,-65,0
13.5,-64,-66,2
13.75,-64,-65,1
14,-63,-65,2
14.25,-65,-64,-1
14.5,-64,-64,0
14.75,-64,-65,1
15,-64,-66,2
15.25,-64,-66,2
15.5,-64,-66,2
15.75,-63,-67,4
16,-63,-66,3
16.25,-63,-67,4
16.5,-63,-69,6
16.75,-64,-70,6
17,-64,-74,10
17.25,-64,-71,7
17.5,-64,-72,8
17.75,-64,-72,8
18,-63,-70,7
18.25,-64,-71,7
18.5,-63,-71,8
18.75,-64,-72,8
19,-64,-72,8
19.25,-64,-69,5
19.5,-65,-70,5
19.75,-65,-67,2
20,-65,-66,1
20.25,-64,-67,3
20.5,-65,-66,1
20.75,-65,-66,1
21,-64,-67,3
21.25,-64,-66,2
21.5,-64,-67,3
21.75,-64,-65,1
22,-64,-66,2
22.25,-64,-66,2
22.5,-64,-66,2
22.75,-64,-67,3
23,-65,-66,1
23.25,-64,-66,2
23.5,-66,-66,0
23.75,-65,-68,3
24,-64,-69,5
24.25,-65,-72,7
24.5,-64,-69,5
24.75,-64,-71,7
25,-65,-71,6
25.25,-65,-69,4
25.5,-64,-71,7
25.75,-64,-71,7
26,-64,-71,7
26.25,-64,-70,6
26.5,-63,-71,8
26.75,-64,-70,6
27,-64,-71,7
27.25,-65,-70,5
27.5,-64,-70,6
27.75,-64,-68,4
28,-64,-69,5
28.25,-64,-67,3
28.5,-64,-68,4
28.75,-64,-67,3
29,-65,-68,3
29.25,-64,-68,4
29.5,-64,-68,4
29.75,-64,-66,2
30,-64,-67,3
30.25,-64,-67,3
30.5,-64,-67,3
30.75,-65,-67,2
31,-64,-67,3
31.25,-64,-67,3
31.5,-64,-67,3
31.75,-63,-66,3
32,-64,-67,3
32.25,-64,-68,4
32.5,-64,-68,4
32.75,-64,-71,7
33,-64,-71,7
33.25,-63,-72,9
33.5,-64,-73,9
33.75,-64,-71,7
34,-64,-74,10
34.25,-64,-71,7
34.5,-64,-72,8
34.75,-63,-70,7
35,-64,-67,3
35.25,-64,-66,2
35.5,-64,-66,2
35.75,-63,-66,3
36,-65,-66,1
36.25,-63,-66,3
36.5,-64,-66,2
36.75,-64,-66,2
37,-64,-67,3
37.25,-64,-66,2
37.5,-64,-67,3
37.75,-63,-66,3
38,-63,-67,4
38.25,-64,-68,4
38.5,-63,-70,7
38.75,-65,-70,5
39,-64,-72,8
39.25,-63,-72,9
39.5,-64,-72,8
39.75,-63,-72,9
40,-63,-70,7
40.25,-63,-72,9
40.5,-63,-70,7
40.75,-64,-72,8
41,-64,-71,7
41.25,-64,-72,8
41.5,-64,-68,4
41.75,-64,-68,4
42,-64,-67,3
42.25,-63,-67,4
42.5,-64,-67,3
42.75,-64,-67,3
43,-64,-71,7
43.25,-63,-68,5
43.5,-63,-67,4
43.75,-63,-68,5
44,-64,-70,6
44.25,-64,-68,4
44.5,-63,-68,5
44.75,-64,-68,4
45,-64,-67,3
45.25,-63,-67,4
45.5,-63,-68,5
45.75,-64,-70,6
46,-63,-69,6
46.25,-64,-71,7
46.5,-64,-70,6
46.75,-64,-73,9
47,-65,-71,6
47.25,-63,-74,11
47.5,-63,-71,8
47.75,-64,-71,7
48,-64,-70,6
48.25,-63,-69,6
48.5,-63,-71,8
48.75,-64,-71,7
49,-64,-74,10
49.25,-64,-70,6
49.5,-64,-71,7
49.75,-64,-70,6
50,-64,-70,6
50.25,-63,-67,4
50.5,-64,-67,3
50.75,-64,-66,2
51,-63,-67,4
51.25,-64,-67,3
51.5,-63,-68,5
51.75,-63,-67,4
52,-64,-68,4
52.25,-64,-67,3
52.5,-64,-67,3
52.75,-64,-67,3
53,-64,-67,3
53.25,-64,-67,3
53.5,-64,-68,4
53.75,-64,-69,5
54,-63,-70,7
54.25,-64,-69,5
54.5,-64,-69,5
54.75,-64,-70,6
55,-63,-70,7
55.25,-64,-70,6
55.5,-64,-72,8
55.75,-63,-72,9
56,-63,-73,10
56.25,-63,-73,10
56.5,-63,-75,12
56.75,-63,-72,9
57,-64,-72,8
57.25,-63,-74,11
57.5,-64,-73,9
57.75,-64,-72,8
58,-63,-73,10
58.25,-63,-74,11
58.5,-64,-73,9
58.75,-63,-74,11
59,-64,-76,12
59.25,-64,-75,11
59.5,-63,-75,12
59.75,-63,-76,13
